('Total Revenue', '391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         735760 function calls (715802 primitive calls) in 7.297 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    0.004    0.004 dammit.py:677(_to_unicode)
     5485    0.004    0.000    0.004    0.000 {method 'start' of 're.Match' objects}
      124    0.004    0.000    0.011    0.000 sre_compile.py:516(_get_charset_prefix)
     2481    0.003    0.000    0.006    0.000 css_parser.py:307(match)
      325    0.003    0.000    0.011    0.000 css_parser.py:1094(selector_iter)
     2150    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
      767    0.003    0.000    0.013    0.000 {method 'sub' of 're.Pattern' objects}
     1058    0.003    0.000    0.006    0.000 sre_parse.py:296(_class_escape)
     3841    0.003    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
     3693    0.003    0.000    0.003    0.000 {method 'find' of 'bytearray' objects}
     3813    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
     2753    0.002    0.000    0.003    0.000 {built-in method builtins.max}
       19    0.002    0.000    0.010    0.001 enum.py:180(__new__)
     2684    0.002    0.000    0.002    0.000 __init__.py:205(can_be_empty_element)
      158    0.002    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      306    0.002    0.000    0.406    0.001 re.py:288(_compile)
      802    0.002    0.000    0.004    0.000 sre_parse.py:356(_escape)
      158    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     2684    0.002    0.000    0.002    0.000 __init__.py:453(set_up_substitutions)
      191    0.002    0.000    0.024    0.000 sre_compile.py:560(_compile_info)
      205    0.002    0.000    0.046    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     1360    0.002    0.000    0.005    0.000 sre_parse.py:169(__setitem__)
       24    0.002    0.000    0.132    0.005 {method 'join' of 'bytes' objects}
     1002    0.002    0.000    0.007    0.000 sre_compile.py:447(_simple)
     2536    0.002    0.000    0.002    0.000 parser.py:126(clear_cdata_mode)
     3056    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     1927    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     2683    0.002    0.000    0.002    0.000 _markupbase.py:36(getpos)
      316    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
