('Total Revenue', '391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         735760 function calls (715802 primitive calls) in 7.297 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.001    0.000 cookiejar.py:621(request_host)
       47    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1488(__init__)
       21    0.000    0.000    0.000    0.000 parse.py:900(quote_from_bytes)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1394(_normalized_cookie_tuples)
       89    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
       49    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       84    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
      136    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
    31/17    0.000    0.000    0.455    0.027 {built-in method builtins.__import__}
        5    0.000    0.000    0.000    0.000 url.py:301(_normalize_host)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1740(_parse_hextet)
      140    0.000    0.000    0.000    0.000 parse.py:111(_noop)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
       81    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
      146    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      140    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       19    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       93    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       64    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
       24    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
    69/38    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
      119    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       62    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       49    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       10    0.000    0.000    0.017    0.002 enum.py:536(_convert_)
       69    0.000    0.000    0.001    0.000 status_codes.py:122(<genexpr>)
       44    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
       79    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      108    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       45    0.000    0.000    0.130    0.003 models.py:816(generate)
        1    0.000    0.000    0.012    0.012 socket.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.208    0.208 css_parser.py:1(<module>)
      128    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
        2    0.000    0.000    0.001    0.001 connection.py:369(request)
      103    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      135    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
        2    0.000    0.000    0.031    0.016 connection.py:1(<module>)
       34    0.000    0.000    0.000    0.000 _collections_abc.py:909(__iter__)
        2    0.000    0.000    0.107    0.054 exceptions.py:1(<module>)
       20    0.000    0.000    0.000    0.000 parse.py:167(hostname)
       45    0.000    0.000    0.130    0.003 response.py:1044(stream)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
       31    0.000    0.000    0.001    0.000 ipaddress.py:1272(__init__)
      110    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      139    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      113    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       12    0.000    0.000    0.001    0.000 enum.py:947(_create_pseudo_member_)
        1    0.000    0.000    0.063    0.063 url.py:1(<module>)
        2    0.000    0.000    0.006    0.003 request.py:1(<module>)
       21    0.000    0.000    0.000    0.000 parse.py:829(quote)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       19    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
       24    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
       22    0.000    0.000    0.000    0.000 parse.py:208(_hostinfo)
       41    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       12    0.000    0.000    0.000    0.000 queue.py:122(put)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
    41/22    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
        2    0.000    0.000    0.004    0.002 models.py:1(<module>)
       13    0.000    0.000    0.000    0.000 queue.py:154(get)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1616(_make_netmask)
      113    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       12    0.000    0.000    0.000    0.000 cookiejar.py:551(domain_match)
        6    0.000    0.000    0.005    0.001 cookiejar.py:1685(extract_cookies)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        6    0.000    0.000    0.002    0.000 cookiejar.py:1604(make_cookies)
       22    0.000    0.000    0.001    0.000 ipaddress.py:1173(_ip_int_from_string)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      2/1    0.000    0.000    1.007    1.007 sessions.py:673(send)
       13    0.000    0.000    0.000    0.000 sre_compile.py:440(_bytes_to_codes)
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
       10    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        2    0.000    0.000    0.784    0.392 client.py:311(begin)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
       70    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       36    0.000    0.000    0.000    0.000 cookiejar.py:536(is_HDN)
        9    0.000    0.000    0.001    0.000 cookiejar.py:1016(set_ok_domain)
       36    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
    32/16    0.000    0.000    0.000    0.000 cookiejar.py:1231(deepvalues)
        3    0.000    0.000    0.032    0.011 response.py:1(<module>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
        1    0.000    0.000    0.023    0.023 cookiejar.py:1(<module>)
       24    0.000    0.000    0.000    0.000 os.py:675(__getitem__)
        2    0.000    0.000    0.786    0.393 connection.py:485(getresponse)
        7    0.000    0.000    0.002    0.000 typing.py:2249(<dictcomp>)
       35    0.000    0.000    0.000    0.000 cookies.py:49(get_full_url)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.016    0.016 ssl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sessions.py:356(Session)
        2    0.000    0.000    0.865    0.433 connectionpool.py:592(urlopen)
        1    0.000    0.000    0.120    0.120 dammit.py:67(EntitySubstitution)
       24    0.000    0.000    0.000    0.000 os.py:755(encode)
       96    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.047    0.047 connectionpool.py:1(<module>)
        1    0.000    0.000    0.069    0.069 ssl_.py:1(<module>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        6    0.000    0.000    0.003    0.000 typing.py:2267(__new__)
       16    0.000    0.000    0.121    0.008 css_parser.py:296(__init__)
        2    0.000    0.000    0.003    0.001 utils.py:204(get_netrc_auth)
        3    0.000    0.000    0.001    0.000 url.py:367(parse_url)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       19    0.000    0.000    0.000    0.000 cookiejar.py:678(escape_path)
       15    0.000    0.000    0.000    0.000 connection.py:355(putheader)
       12    0.000    0.000    0.001    0.000 cookiejar.py:727(is_third_party)
       22    0.000    0.000    0.001    0.000 typing.py:1147(copy_with)
        3    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
       46    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
       12    0.000    0.000    0.000    0.000 io.py:60(__getattr__)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        8    0.000    0.000    0.001    0.000 _htmlparser.py:182(handle_charref)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       28    0.000    0.000    0.000    0.000 util.py:19(to_str)
       12    0.000    0.000    0.000    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
        4    0.000    0.000    0.000    0.000 feedparser.py:101(push)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7fb0d60343a0}
      3/2    0.000    0.000    0.842    0.421 sessions.py:159(resolve_redirects)
        1    0.000    0.000    0.026    0.026 ssl.py:1014(_create)
    27/24    0.000    0.000    0.004    0.000 typing.py:401(__getitem__)
        1    0.000    0.000    0.034    0.034 adapters.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
       15    0.000    0.000    0.000    0.000 connection.py:404(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1873(_split_scope_id)
       12    0.000    0.000    0.000    0.000 cookies.py:349(set_cookie)
        2    0.000    0.000    0.008    0.004 cookies.py:1(<module>)
        2    0.000    0.000    0.758    0.379 client.py:278(_read_status)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:6(HTTPStatus)
       10    0.000    0.000    0.001    0.000 cookiejar.py:648(request_path)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1147(_make_netmask)
        4    0.000    0.000    0.000    0.000 posixpath.py:229(expanduser)
       49    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
       10    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
        2    0.000    0.000    0.864    0.432 connectionpool.py:377(_make_request)
       25    0.000    0.000    0.000    0.000 threading.py:359(notify)
        2    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        1    0.000    0.000    0.026    0.026 connection.py:846(_ssl_wrap_socket_and_match_hostname)
       14    0.000    0.000    0.000    0.000 cookiejar.py:1227(vals_sorted_by_key)
        1    0.000    0.000    0.043    0.043 client.py:1(<module>)
       12    0.000    0.000    0.000    0.000 cookiejar.py:692(reach)
       10    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
        2    0.000    0.000    0.005    0.003 core.py:1(<module>)
       26    0.000    0.000    0.000    0.000 threading.py:264(__enter__)
       24    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
        6    0.000    0.000    0.000    0.000 cookiejar.py:233(http2time)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.077    0.077 connection.py:669(connect)
        6    0.000    0.000    0.000    0.000 abc.py:21(_register)
        6    0.000    0.000    0.005    0.001 cookies.py:124(extract_cookies_to_jar)
        8    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
        2    0.000    0.000    0.869    0.435 adapters.py:613(send)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.002    0.002 resources.py:1(<module>)
       25    0.000    0.000    0.000    0.000 threading.py:279(_is_owned)
        9    0.000    0.000    0.000    0.000 cookiejar.py:762(__init__)
       19    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
        2    0.000    0.000    0.026    0.013 client.py:224(parse_headers)
        7    0.000    0.000    0.003    0.000 typing.py:2247(_make_nmtuple)
       12    0.000    0.000    0.000    0.000 cookiejar.py:1672(set_cookie)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       26    0.000    0.000    0.000    0.000 threading.py:267(__exit__)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        2    0.000    0.000    0.000    0.000 client.py:1083(putrequest)
       24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1596(_BaseV6)
        2    0.000    0.000    0.002    0.001 parser.py:59(parsestr)
        2    0.000    0.000    0.000    0.000 message.py:459(<listcomp>)
       10    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        1    0.000    0.000    7.297    7.297 financial.py:1(<module>)
        3    0.000    0.000    0.001    0.000 cookiejar.py:1096(return_ok)
        5    0.000    0.000    0.000    0.000 typing.py:801(__init__)
       45    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        5    0.000    0.000    0.000    0.000 typing.py:1549(__init_subclass__)
       50    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       25    0.000    0.000    0.000    0.000 queue.py:248(_qsize)
        1    0.000    0.000    0.006    0.006 zipfile.py:1(<module>)
        1    0.000    0.000    0.035    0.035 sessions.py:1(<module>)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1266(__init__)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       30    0.000    0.000    0.000    0.000 connection.py:357(<genexpr>)
       51    0.000    0.000    0.000    0.000 element.py:1624(__eq__)
       10    0.000    0.000    0.001    0.000 structures.py:40(__init__)
       43    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       21    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.346    0.346 element.py:1(<module>)
        2    0.000    0.000    0.044    0.022 api.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
       12    0.000    0.000    0.001    0.000 enum.py:937(_missing_)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        7    0.000    0.000    0.000    0.000 utils.py:345(to_key_val_list)
       19    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       41    0.000    0.000    0.000    0.000 _collections.py:289(__iter__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:175(__init__)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       10    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
        1    0.000    0.000    0.001    0.001 abc.py:1(<module>)
      9/7    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
        3    0.000    0.000    0.001    0.000 utils.py:765(should_bypass_proxies)
       10    0.000    0.000    0.000    0.000 socket.py:99(_intenum_converter)
        1    0.000    0.000    0.002    0.002 poolmanager.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1(<module>)
       19    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
        7    0.000    0.000    0.000    0.000 sessions.py:61(merge_setting)
        2    0.000    0.000    0.033    0.017 parser.py:1(<module>)
       21    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       13    0.000    0.000    0.001    0.000 cookiejar.py:637(eff_request_host)
        2    0.000    0.000    0.003    0.001 adapters.py:359(build_response)
        2    0.000    0.000    0.002    0.001 _collections.py:1(<module>)
        1    0.000    0.000    0.013    0.013 css_match.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ntpath.py:1(<module>)
       23    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        4    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
        2    0.000    0.000    0.000    0.000 socket.py:302(makefile)
        1    0.000    0.000    0.008    0.008 cd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:165(<dictcomp>)
       20    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
       15    0.000    0.000    0.000    0.000 _collections_abc.py:828(__contains__)
        1    0.000    0.000    0.051    0.051 connection.py:27(create_connection)
        2    0.000    0.000    0.002    0.001 parser.py:41(parse)
        1    0.000    0.000    0.006    0.006 css_types.py:1(<module>)
       24    0.000    0.000    0.000    0.000 abc.py:110(register)
       43    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        5    0.000    0.000    0.000    0.000 __init__.py:872(__init__)
        2    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
       14    0.000    0.000    0.000    0.000 css_parser.py:449(__init__)
       42    0.000    0.000    0.000    0.000 __init__.py:579(__missing__)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
        6    0.000    0.000    0.001    0.000 cookiejar.py:1583(_cookies_from_attrs_set)
       17    0.000    0.000    0.000    0.000 client.py:1008(_output)
       12    0.000    0.000    0.000    0.000 utils.py:1045(_validate_header_part)
        7    0.000    0.000    0.000    0.000 timeout.py:109(__init__)
       14    0.000    0.000    0.041    0.003 css_parser.py:1135(process_selectors)
       36    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        1    0.000    0.000    0.002    0.002 ipaddress.py:2299(_IPv6Constants)
        1    0.000    0.000    0.028    0.028 socket.py:938(getaddrinfo)
       12    0.000    0.000    0.000    0.000 element.py:273(get_text)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        9    0.000    0.000    0.000    0.000 url.py:330(_idna_encode)
        3    0.000    0.000    0.000    0.000 retry.py:202(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.130    0.130 dammit.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        1    0.000    0.000    0.000    0.000 models.py:409(prepare_url)
       34    0.000    0.000    0.000    0.000 cookiejar.py:44(_debug)
        2    0.000    0.000    0.000    0.000 response.py:577(__init__)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
       43    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        4    0.000    0.000    0.000    0.000 element.py:2155(__init__)
        3    0.000    0.000    0.000    0.000 url.py:263(_remove_path_dot_segments)
       26    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        8    0.000    0.000    0.000    0.000 cookies.py:35(__init__)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
       15    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.004    0.004 sessions.py:457(prepare_request)
        3    0.000    0.000    0.000    0.000 idna.py:145(encode)
        1    0.000    0.000    0.044    0.044 compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 models.py:483(prepare_headers)
       12    0.000    0.000    0.000    0.000 element.py:292(<listcomp>)
        2    0.000    0.000    0.001    0.000 cookiejar.py:1361(add_cookie_header)
        1    0.000    0.000    0.043    0.043 _request_methods.py:1(<module>)
        4    0.000    0.000    0.000    0.000 utils.py:838(select_proxy)
        4    0.000    0.000    0.000    0.000 cookies.py:358(update)
        1    0.000    0.000    0.002    0.002 ssl_.py:219(create_urllib3_context)
        2    0.000    0.000    0.000    0.000 response.py:316(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       13    0.000    0.000    0.000    0.000 threading.py:90(RLock)
        9    0.000    0.000    0.001    0.000 cookiejar.py:984(set_ok_verifiability)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.001    0.001 ssl.py:183(_TLSAlertType)
        2    0.000    0.000    0.000    0.000 ssl.py:1255(sendall)
        8    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        1    0.000    0.000    0.051    0.051 connection.py:192(_new_conn)
       13    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       35    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.004    0.004 dammit.py:541(__init__)
       15    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 element.py:144(PageElement)
        3    0.000    0.000    0.000    0.000 poolmanager.py:199(__init__)
        6    0.000    0.000    0.000    0.000 calendar.py:644(timegm)
        8    0.000    0.000    0.000    0.000 formatter.py:49(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
       16    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
       29    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        2    0.000    0.000    0.000    0.000 adapters.py:202(__init__)
       12    0.000    0.000    0.000    0.000 cookies.py:43(get_host)
       26    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       10    0.000    0.000    0.000    0.000 _text.py:90(lower)
        1    0.000    0.000    0.003    0.003 filepost.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
        1    0.000    0.000    0.007    0.007 header.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sessions.py:390(__init__)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:1107(__mro_entries__)
       16    0.000    0.000    0.000    0.000 element.py:387(_last_descendant)
        1    0.000    0.000    0.000    0.000 dammit.py:522(UnicodeDammit)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        5    0.000    0.000    0.000    0.000 __init__.py:853(_addHandlerRef)
        7    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.078    0.078 _base_connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
       26    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       34    0.000    0.000    0.000    0.000 enum.py:1049(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:1002(SSLSocket)
       12    0.000    0.000    0.000    0.000 retry.py:242(<genexpr>)
        3    0.000    0.000    0.000    0.000 typing.py:1223(__getitem__)
        1    0.000    0.000    0.000    0.000 css_parser.py:667(parse_pseudo_nth)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1555(_IPv4Constants)
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
       12    0.000    0.000    0.000    0.000 queue.py:254(_get)
        8    0.000    0.000    0.000    0.000 sre_parse.py:868(_parse_flags)
        2    0.000    0.000    0.001    0.001 adapters.py:446(get_connection_with_tls_context)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1302(_cookie_attrs)
        3    0.000    0.000    0.001    0.000 typing.py:523(Optional)
        1    0.000    0.000    1.012    1.012 sessions.py:500(request)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
       26    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:562(set_alpn_protocols)
       12    0.000    0.000    0.000    0.000 queue.py:251(_put)
        2    0.000    0.000    0.000    0.000 typing.py:1323(__class_getitem__)
        1    0.000    0.000    0.130    0.130 formatter.py:1(<module>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       15    0.000    0.000    0.000    0.000 ssl.py:996(_sslcopydoc)
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
        7    0.000    0.000    0.000    0.000 structures.py:57(__iter__)
       35    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        4    0.000    0.000    0.137    0.034 element.py:2013(find_all)
        1    0.000    0.000    0.127    0.127 css_parser.py:418(CSSParser)
        9    0.000    0.000    0.001    0.000 cookiejar.py:1005(set_ok_path)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
        2    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1170(_close_pool_connections)
        2    0.000    0.000    0.000    0.000 response.py:864(_raw_read)
       21    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
        1    0.000    0.000    0.003    0.003 decoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
       12    0.000    0.000    0.000    0.000 cookies.py:90(unverifiable)
        6    0.000    0.000    0.000    0.000 contextlib.py:102(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        2    0.000    0.000    0.001    0.000 util.py:1(<module>)
        1    0.000    0.000    0.020    0.020 feedparser.py:1(<module>)
        2    0.000    0.000    0.000    0.000 response.py:40(assert_header_parsing)
        1    0.000    0.000    0.001    0.001 ssl.py:224(_TLSMessageType)
        1    0.000    0.000    0.005    0.005 pretty.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:964(__mro_entries__)
        1    0.000    0.000    0.003    0.003 message.py:1(<module>)
       12    0.000    0.000    0.000    0.000 cookies.py:46(get_origin_req_host)
       12    0.000    0.000    0.000    0.000 cookies.py:94(origin_req_host)
       25    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
        6    0.000    0.000    0.002    0.000 feedparser.py:178(_call_parse)
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
        6    0.000    0.000    0.000    0.000 cookiejar.py:81(_timegm)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
       21    0.000    0.000    0.000    0.000 timeout.py:130(_validate_timeout)
        1    0.000    0.000    0.000    0.000 ssl.py:480(SSLContext)
        2    0.000    0.000    0.001    0.001 _adapters.py:1(<module>)
        3    0.000    0.000    0.000    0.000 cookies.py:542(merge_cookies)
        2    0.000    0.000    0.001    0.000 poolmanager.py:330(connection_from_pool_key)
        1    0.000    0.000    0.000    0.000 intranges.py:1(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:112(_WindowsFlavour)
        5    0.000    0.000    0.000    0.000 datetime.py:384(_check_date_fields)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1739(clear_expired_cookies)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
        6    0.000    0.000    0.000    0.000 cookiejar.py:885(__init__)
       10    0.000    0.000    0.000    0.000 {method 'subn' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 mimetypes.py:1(<module>)
        4    0.000    0.000    0.001    0.000 ssl.py:457(__new__)
        6    0.000    0.000    0.000    0.000 message.py:588(get_content_maintype)
       25    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
       15    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        2    0.000    0.000    0.000    0.000 adapters.py:90(_urllib3_request_context)
        1    0.000    0.000    0.000    0.000 wait.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       24    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1386(__init__)
        1    0.000    0.000    0.003    0.003 __meta__.py:1(<module>)
